question,answer
im in my late 50s i never loved or have been loved i need deeper help than is offered in my small town but i cannot leave this town because of agoraphobia i find myself losing hope more and more my brain barely works anymore and my memory so small i forget in a moment i serve no purpose im incapable of work or anything of value and i never have been im a complete waste of time and resources and yet i keep trying why why does god insist that i continue to exist im not suicidal just tired,hi oak harbormy heart goes out to you sometimes when im working with a client who experiences depression or anxiety i ask them for a glimpse into their worst moments in their minds what are the worst thoughts that run through your head often they struggle perhaps out of shame maybe they dont want me to know their worst thoughts but i can help them better if i do know because then we have a place to work from you are feeling hopeless and worthless and your thoughts support these intense emotions i dont know you but i strongly believe that you have someone in your life who if they heard your thoughts would say thats not true i know where her value is i believe that there are people who would see your value clearly even if in small things can you imagine those voicesyou mentioned god so lets invite god into the conversation what might god say to you what evidence might godwho sees allhave of your worth what hint might god give you about your purpose you suffer from severe anxiety and the agoraphobia works together with fear theyre a tag team fear tells you perhaps that people will reject you or something equally bad and then agoraphobia steps in and traps you and uses as evidence the fact that no one seems to be reaching out to you to convince you that you have no worth do you see their plan make her scared keep her here aloneconvince her its hopeless they both try to convince you that they are your only friends except theyre lying to you they only want power over youyou forget your worth you forget that we all have worth no one is a waste i believe all gods creatures have worth and that were here to use our gifts to improve the world and to remind each other of our value there are people out there needing your support as much as you need theirs can you find them my guess is youve been alone and isolated for a very long time and its impossible for you to see your worth in this situation we need mirrors to see our worth and other people are our mirrors we see our value in their eyes do you remember the first time you questioned your worth what was happening that you blamed yourself for can you speak to that child and tell her or him that whatevers happening isnt her fault its that child who cannot see her own worth probably because someone treated her as though she had none thats only a story though not the truth can you find another thread of a story who might tell a story of your worthoak harbor i believe that there is help closer than you think fear wants you to believe its hopeless you reached out herecan you reach out again start with just one person and that will lead you to somewhere we dont know where that somewhere is but could it be better than sitting alone youve stopped living you can choose any moment to start i wish you peace and hope 
both of my parents committed suicide together and i was the one who found them i suffer from overwhelming depression which is having an extreme effect on me and my husbands sex lives he does not understand at all and is always making me feel so uncomfortable about sex,hello and thank you for your question first i want to tell you how sorry i am for the experience you had with your parents that is a grief and trauma that is certainly hard to imagine trauma and grief can affect us in many ways and certainly deeply personal things like our sex lives it may be difficult for others to make the connection but it is there so for example if stress and trauma make you feel like you are not interested in sex a partner may take it as a personal rejection rather than response to stress trauma or grief if your husband will agree to it couples counseling may be your best bet a counselor can help you with your communication and may be able to provide some education to your husband about trauma and how it can have an impact on intimacy if he doesnt agree to go it may be worth it to go on your own you still have a lot you are dealing with yourself and sometimes our personally therapy can influence others so it may be a good idea it is important to remember that even though you are married you have the right to make decisions about your body and that includes when you want to have sex with it i hope this is helpful and some of my colleagues may have ideas also be wellrobin j landwehr dbh lpc ncc
i have bipolar disorder paranoid personality disorder posttraumatic stress disorder anxiety and obsessivecompulsive disorder i last selfharmed a week ago when i am stressed overwhelmed hurt or angry the urge to selfharm is all i can think of i am trying to seek help,seeking professional help does not mean that you will necessarily be admitted into an inpatient setting  though  to be honest that can become an option if you feel unsafe or if you are unable to plan for safety however many clients who struggle with selfharm can find help in outpatient settings  particularly those which offer a treatment called dialectical behavioral therapy dbt looking for a dbt professional or group therapy setting may be particularly helpful but a skilled professional can help you to figure out how to identify other options even when you are experiencing overwhelming emotions without knowing your location i also recommend searching to find your local helpline or suicide prevention hotline the volunteers on the other end of the line can be very helpful even if your intention is not suicide and they are likely also to be able to connect you with resources in your area calling into the helpline may also be a first step alternative to selfharming when youre feeling overwhelmed
i stress over everything if i dont have enough quality time with my boyfriend i start to feel resentment towards him he has three children and they are great kids but i find we dont have much time together i break down easily and find myself depressed,everyone has some level of anxiety  its what helps us respond to stressors in our lives and clues us into the fact that we need to respond to something going on however if youre feeling overwhelmed by racing thoughts feeling like you spend a lot of energy worrying about something specific or even pretty much anything at all and youre starting to find that its getting in your way when it comes to living your life the way you want then id suggest seeing a counselor or therapist for an assessment for anxiety your other concerns though seem pretty normal for someone who is in a relationship with a partner who has children as a married stepmother ive been there and as a therapist i can tell you that the boundaries and communication skills you have in your relationships need to be healthy for you to feel healthy finding some support from a group of others whose partners have children might be really helpful  being able to hear from others that you arent alone in feeling like this can really lighten the load and they might have some good ideas for handling certain situations another option is to find a counselor or therapist who has experience working with stepblended family dynamics  because even if youre not officially married those dynamics come into play whenever there are kids from another relationship involved you may even consider couples counseling so that both of you can learn to talk about your relationship needs and concerns in a way that will encourage connection and strengthen your sense of partnership
i have been falling into a deep depression where i can no function during the day and night the only time i am at peace is when im asleep if i am with friends family at work and mainly alone i cannot think straight i no longer feel like myself,i dont know how long ago your breakup was but i would suggest that you reach out to friends or family that you trust and perhaps a local mental health clinicianim not sure what you mean when you say that you are not able to function during the day and night if you are having trouble sleeping for more than a few nights consider talking with your primary care physician not sleeping can really make changes in your emotions seem much largercan you find anything in your life that is the same as it was before the breakup this may be a starting point for you i wonder if you could think of and moment or two each day when you feel emotionally at peace while you are awake also consider looking at things that you can control such as when you choose to wear eat and who you talk to about your deepest feelingsyou mentioned that you have friends and family i wonder if any of them are supportive to youplease reach out and talk to someone about the details i get the sense that you feel that you are alone in this and having someone there to help you sort out what youre feeling sounds like it would be a gift to yourself
i have been falling into a deep depression where i can no function during the day and night the only time i am at peace is when im asleep if i am with friends family at work and mainly alone i cannot think straight i no longer feel like myself,it is common to go through a stage of adjustment after a breakup which may include depression symptoms i recommend practicing selfcare stressing on balancing your life with healthy eating exercise resting and looking at your spiritual life these steps should assist you in giving your body and mind some balance  practice cognitive reframing this is training your brain to refocus and stay on task meditation is a great tool to clear your mind during the day as well there are multiple apps that help if the problem persists a therapist could assist you in learning to focus and process those thoughts and feelings that cloud you mindcã³mo puedo manejar la depresiã³n despuãs de una separaciã³nhe estado cayendo en una depresiã³n profunda que no me permite funcionar durante el dãa el ãºnico memento en el que estoy en calma es cuando duermo si estoy con mis amigos familia en el trabajo o a solas no puedo pensar claramente ya no me siento como yoes comãºn pasar por un estado de ajuste despuãs de una separaciã³n y este ajuste puede incluir sãntomas de depresiã³n recomiendo que practiques auto compasiã³n esforzarte en balancear tu vida comiendo saludable ejercitãndote descansando y analizando tu vida espiritual estos pasos te ayudarãn a balancear tu mente y cuerpo tambiãn puedes practicar reenfocar tus pensamientos para mantener tu mente clara la meditaciã³n es una buena manera de practicar el enfoque mental y existen muchas aplicaciones que te pueden ayudar si el problema persiste tu consejero te puede ayudar a aprender tãcnicas de enfoque a procesar pensamientos o sentimientos que te estãn afectando
i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,if you have already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder can you go back to the people who diagnosed you with those thingsit may be that your parents would be open to you talking with someone because it sounds like you have done this in the past i dont know whether you have a specific reason that you are thinking they may have some hesitation but if you are comfortable saying that you would really like to talk to someone because you are feeling sad or anxious or whichever of your concerns you feel comfortable revealing to them that may be a way to start the process as for how you tell them about the fact that you have harmed yourself in the past and used to be suicidal a therapist may be able to work together with you to discuss the best way to tell them about thatim not sure if you have told anyone about what you have been experiencing but if you have some support there perhaps they would be able to give you feedback about ways to talk with your parents as wellyou mentioned that sometimes you hear voices this can happen for a variety of reasons but if the voices that you hear are giving you directions and you feel as though you might follow them that would be a time to ask for immediate help before you follow through with what they are telling you perhaps by calling 8002738255 they may be able to connect you with local resources and they can definitely talk with you in the moment that you call
i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,family support is very helpful when having these symptoms  i suggest looking for therapist within reach school through your insurance or the community calling 211  once you schedule a session you can inform them and invite them to come in  i have found trough sceptic parents that once they give it a chance they open up to the process of learning and healing i also understand that parents may become overly concerned and overprotective when hearing about your symptoms and thats why is important to discuss them with a therapist normalize them understand why you experience them and learn how they could help you cã³mo les digo a mis padres que yo pienso que tengo problemas mentalesestoy seguro que tengo depresiã³n ansiedad tambiãn escucho voces en mi cabeza tengo problemas para dormir tambiãn y he sido diagnosticado con dãficit de atenciã³n y desorden obsesivo compulsivo me he auto flagelado y solãa tener ideas suicidas como les dejo saber y les pido ayudael apoyo de la familia es muy ãºtil cuando se experimentan los sãntomas que mencionas te sugiero que busques un consejero en la escuela a travãs de tu plan mãdico o en la comunidad llamando al 211  ya que tengas tu cita invita a tus padres he observado que aunque algunos padres son escãpticos al principio pero una vez le dan una oportunidad se abren al proceso de terapia y sus beneficios tambiãn he observado que algunos padres se vuelven sobreprotectores cuando aprenden de los sãntomas que sufren sus hijos asã que serãa otro beneficio que aprendieran que pueden hacer para ayudarte y apoyarte
i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,what stops you now from telling your parents the way you are feelingdo you imagine asking them for therapy would be a surprise for themif theyre paying attention to you at all then i imagine theyd feel relief to know youre aware of having some feelings within yourself of a problemif you believe theyd have a negative reaction to you asking for help this may very well be part of why you are having problems in the first placewhat reaction did your parents have when you were diagnosed with the other conditionsid separate their willingness to help you from your sense of needing helpif they do not want to help with finding a therapist for you then start by looking for services available for people in your age group whose parents also do not wish to be involved in their childs emotional and psychological health
im depressed and recently went through a break up its like every guy i like only wants me for sex i think im ugly and sometimes i just want to die i have a son and i got really big when i was pregnant i have stretch marks on my stomach,if you are currently feeling as if you want to die please call 8002738255 and talk to someoneone way to work on not always thinking so negatively about yourself is to surround yourself with people who are more positive toward you do you have friends or family who are supportivecan you find one part of you that you do not think is uglyif your stretch marks are still bothering you talk with a pharmacist or your primary care physician sometimes there are creams or lotions you can use to decrease stretch marks and they should be able to guide you in the right directionyou mentioned mostly physical things here i wonder if you can find one small thing each day that is going right and build from there perhaps your son makes you smile
im not the same anymore i dont know how to get back to who i am im sad and confused and angry and tired i dont sleep well,being tired can really affect almost everyones ability to work through things that make them sad confused or angry among other emotions if youre having difficulty sleeping try to get into a habit of going to bed and waking up close to the same time every day also consider only using the bed for sleeping so your brain knows that its time to sleep when you are in bed if you are not sleeping while you are in bed consider getting up and reading a book or doing something to make you tired before going back to bed hopefully youll be able to establish a patternsometimes sadness and other emotions make sleeping very difficult as well try keeping track of your moods to see what is leading up to the changesif youre still struggling consider talking with a therapist about the specifics andor maybe talking with your primary care physician there are natural sleep remedies that he or she may recommend for you
over the years i have slowly lost everything my jobs my cars my freedom and my money i am a stayathome mom who doesnt make any money doesnt have a car never goes out and cleans all day long everyday,there are an infinite number of possibilities here you included a lot of things that you dont have is there anyway that you can have some freedom for a few hours a week at least a lot of times stay at home moms have groups when they meet at different public places where their children can play together and they can talk together i dont know how old your child or children isare but perhaps going back to work is something that can happen in the futurei wonder if you may consider who you have in your life who can support you i dont know whether you have a spouse or parents or siblings who could help out with some different things i wonder if you could consider where you would like to go if you had two or three hours that you could do whatever you wanted if you can sort out some possible answers to that maybe you can work together with friends or family to make it happenalso again depending on the age of your children some parents can do things while the children are sleeping even if you are in the same room for example if your children are sleeping for about two hours maybe 30 minutes of that could be reserved for you and the rest could be for cleaning or other things you need to do
i dont have time to live or take care of myself at times its causing depression stress and anxiety i dont know what to do,im not sure whether you are referring to having a lot of activities after school or that homework is overwhelming can you set aside a couple hours a week for yourself as a place to start
two years ago i was separated from the military into my contract for medical issues it has emotionally destroyed me i now basically hate myself its embarrassing to be separated from the one place who takes anyone my family has been in the armed forces and it has always been my dream i cant do this alone anymore and now my family is even worried,it sounds like being separated from the armed forces is a major loss for you it takes some time to work through the emotions related to this and it often takes longer if you are trying to work through it without a lot of supportis there a task that you were doing during your military service that can in some way transfer into civilian life i dont know what else your life involves whether you have close friends or a romantic partner a career activities that you like to do and many other things you may be able to use some of the things that you still have today as a way to start moving forward in a different directionyour military service will always be a part of you thank you for your service
i feel depressed even though i act like a happy with my family i act like im happy so my son doesnt see me sad i act like my life is a happy life but i feel sad and depressed i sometimes think of killing myself and that my family deserve someone better than me i just cry and write in my book all these feelings,it sounds like you have several different things happening at the same time i would encourage you to call and speak to a local therapist if you are having thoughts of killing yourself in this moment please call 8002738255 and talk to someonewhile i follow that you would like your son to be unaware of what you are going through that doesnt mean that you cant discuss your feelings with someone else who is it that you trust or could speak with about this a therapist could be one person but perhaps there is someone else in your life as wellone thing that may help is to find a bead or rock that is smooth and you can hold onto it while thinking of a specific memory where you were happy this could be from as long ago as necessary as long as it is specific and you can place yourself back in that time when you are thinking about it if you think about this time while holding onto the bead the bead may remind you of a time when you felt happy you could do the same thing for a time when you felt comfortable and safehave you recognized any patterns for what is leading you to be sadcan you think of anything that makes you feel good even if it only works for a few minutes
i think i may suffer from depression and it is affecting my life and sleep i am on my parents insurance and they wont let me see a therapist because they dont believe in it,the answer here really depends upon your age and something called the age of consent in the state where you live in pennsylvania anyone over the age of 14 can provide consent for their own treatment as for billing purposes try talking to some local agencies if you are under 18 you may be able to have medicaid out of medical necessity so that you can have treatment if you are over 18 there may be some discounted rates at some agencies because of the situation youre in maybe your primary care physician will be able to refer you to some local agenciesif you are in school you may be able to talk with a guidance counselor or someone at the school this would not require using your insurance
when im sad and alone i want to cut myself,try doing something physical if you havent exercised before it is a good idea to get your doctors approval first but this can be helpfulthe more you can find out about when you want to cut the easier it will be to figure out what else you can do if you are feeling sad or angry or nervous look at what is leading up to those feelings and talk to someone about thatyou said you are alone i would see if you can find someone that you can trust to talk with about what you are going through this could be a parent a friend someone at school a coworker or any number of other people
i stopped for a while but ive started doing it again its like an addiction the more i try to stop the more i want to do it ive tried doing some of the stuff they say to do like draw but it doesnt work,ive heard people say that they cut themselves as a way to feel relief from different emotions youre also right that when you try to focus on just not cutting it becomes more difficult because its what you are focused on while that is still something to work on it may also be helpful to find something else you can do instead you said drawing doesnt work for you sometimes more physical activities such as doing a few jumping jacks can be helpful if you dont exercise it might be something to talk with your doctor about firstthe more you can learn about what makes you want to cut the easier it will be to find out what you could do to change that try talking to somebody about what you are feeling in addition to the urge to cut
i have friends family i live in a good home i go to a nice high school and i get pretty good grades but i dont know why im so unhappy these friends are my best friends and theyre all amazing people and yet im sad all the time and feel alone,i wonder if you have moments where you feel happyyou say you have amazing friends i wonder if you get along with them and feel as though you can be yourself around themsometimes we put a lot of pressure on ourselves to do really well at everything all the time and this can be overwhelming sometimes where do you have support i hope you can tell someone that you are feeling sad so that you can talk about your feelingssleeping can make a big difference as far as feeling sad as well if youre not sleeping well at night that could be a big part of feeling sad a lotperhaps you could try to find a person or two who makes you feel totally safe and comfortable and try to talk with them
i used to be the funny guy of the groupthe class clown if you will i used to laugh uncontrollably all the time and be able to be social without it feeling awkward now i cant laugh at all and im dead inside,if you look back to when you feel as though you were the funny guy i wonder what is different now it may be that responsibilities have changed or any number of other thingsi dont know whether youre also saying that you feel sad or if youre saying that you feel as though you dont have any big changes in your feelingsa lot of us tend to be really busy and sometimes we over schedule ourselves to the point that we dont have time to have positive time for ourselves sometimes even if we are spending time with friends were thinking about work and all of the other things we need to doi wonder if it feels awkward when youre with friends that you trust in an environment that you are used to maybe if that is more comfortable for you it can be a stepping stone to focusing on how you feel better in those momentsit sounds as if you may have had an experience or more than one where you felt misunderstood or criticized and now reacting to people feels awkward if so try going back to people you trust who do you have support from
im starting to think that i might have depression the thing is though im not exactly sad i can joke with my friends and stuff but ive stopped caring about my work and ive been starting to think that life is pointless i really have no clue if i need help or if im just tired or something,it is possible that you have depression but you could also be experiencing some other changes that mean that you have feelings of being sad without actually being depressed your statement makes it sound like youve stopped caring about your work but youre still going to work and doing your work it almost sounds like you are dissatisfied with your work do you like what you do when you said that life is pointless what makes it that way what is keeping you going is there something you can do each day that you can find meaning inyou mentioned that you are not sure if you need help or are just tired it sounds like you could certainly benefit from talking with someone about more specificsim curious about how long you have felt this way and if you are aware of anything that is contributing to it
in the last ten months ive been kicked out moved around three times worked many jobs stopped school to make money had dad and mom get sick was cheated on while pregnant lost my baby had relationship issues and was betrayed i cant get a job i have no friends i feel lonely and isolated ive been dealing with all this by myself,one thing that may help is to focus on small things that you do have control over if you can hold onto that sense of having control over what you wear or what you choose to eat or where you go during the day this may help you be able to look at what is currently most important for you and consider different choices for example you say you cant get a job but i wonder if you could work with and local agencies to help you find a job like career link you say you have no friends currently are there any previous friends that you can get back in contact withyou mentioned that you have no friends is there anyone in your life that you can talk with even if its not someone that you consider a closest friend
ive been feeling worthless unaccomplished and so frustrated i want to break things hit myself run away kick scream and cry i just want to be happy and outgoing again i want to be able to take care of my daughter and live comfortably,philadelphia there is help out there for your daughters sake start somewhere feelings are only that your worst fears about who you are are only based on a few moments that havent gone well depression is so treatable but you have to seek treatment from a professionalheres a quick exercise for you to do that can show you how therapy might work fear is telling you the worst possible story of your life right so if there was an opposite storythe very best story that someone could tell about you and your lifewhat would that be who would be telling it someone who loves you someone who was around you when you were that outgoing person someone whos been watching your life from the start god write that best story i dare you to give it as much credibility as the worst one therapy is often about helping people reject their worst stories i invite you to start exploring with a qualified therapist whatever barriers stand between you and your best life i hope you reach out soon 
i keep feeling paralyzed and unsure during interviews previous jobs have fired me for lack of performance and five employers have rejected me after extensive personality tests and interviews im afraid of continuing because my depression is getting worse im already humiliated working for temp agencies and doubt my selfworth as a provider for my family,it sounds like you are feeling pretty overwhelmed and stuck between wanting to improve your work situation and worrying that you wont be able to it is possible that the paralysis uncertainty and selfdoubt that you describe are contributing to your difficulty in getting and maintaining a satisfying job as employers generally like to see that a potential employee is confident and can think on his or her feet with a competent therapist you may be able to get more understanding of the roots of these feelings and learn how to move forward in your search for a better work life in a way that leaves you feeling confident and capable
i feel like i am not at a good state of mind im very unsettled in my soul im not happy with myself or the decisions i make which makes me not happy with anyone else i feel like a failure most of my days i dont feel like im good at anything anymore i feel like less of a person,it seems like you may be experiencing depression symptoms they could be the triggered by unexpected life changes or building up throughout timethe important part is that you have identified them and wanting to change them the first step is to establish a selfcare routine that will help you to feel centered and motivated go for walks or make any physical activity that you enjoy  be kind to yourself anything helps at this point eat balanced add whole grains and fibers to your diet make a point to rest at night and avoid naps practice a hobby that you love or look for a new one that you are curious about you mentioned that you feel unsettled in your soul explore your spirituality meditate about what makes your soul at peace and find ways to practice that or surround yourself by those activitiesif you find it difficult to begin talk to your therapist to identify roadblocks and ways to find motivation suicidal and homicidal thoughts are common but serious depression symptoms discuss them with your therapist contact your doctor or psychiatrist and call 911 if its and emergencyonce you feel stable you can focus on exploring the source of the problem and see if you need to make changes or learn coping skills that will help you manage it  it will also be a good time to explore your spirituality and your purpose in life that may help you to feel better with yourself and then happier around otherscã³mo puedo volver a ser la persona que realmente soysiento que mi mente no estã bien my espãritu estã intranquilo no me siento feliz con las decisiones que tomo lo cual me hace infeliz con los demãs me siento como un fracaso la mayorãa del tiempo siento que ya no soy bueno para nada siento que soy menos que los demãsal parecer estas experimentando sãntomas de depresiã³n la cual puede ser causada por cambios recientes en tu vida o estarse acumulando a travãs del tiempolo importante en este momento es que tãº reconoces los sãntomas y estas buscando cambiar la situaciã³n el primer paso serãa trabajar en restablecer una rutina de cuidado personal que te ayude a sentirte emocionalmente estable y motivado sal a caminar o hacer alguna actividad fãsicaten compasiã³n contigo mismo cualquier cosa funciona para comenzar comienza a comer balanceado especialmente granos y fibras integrales  procura descansar en las noches y evita las siestas y practica algãºn tipo de actividad que hayas disfrutado en el pasado o que te de curiosidad mencionaste que tu espãritu esta intranquilo explora tu espiritualidad y que te ayudarãa a encontrar la paz busca la manera de hacer esa prãctica una rutinasi te cuesta mucho trabajo iniciar estas actividades serã bueno buscar a un consejero para que te ayude a identificar formas de estar motivado o obstãculos que te estãn deteniendo es comãºn tener pensamientos que atentan en contra de tu vida o la de otros discãºtelos con tu terapeuta con tu medico primario o psiquiatra y llama al 911 si es una emergencia  ya que consigas estabilidad puedes comenzar a trabajar o explorar la causa del problema y ver si hay cambios mayores que debes hacer o destrezas que debes aprender para manejar el mismo tambiãn es un buen momento para explorar tu espiritualidad mas profundamente y tu propã³sito en la vida cuando encontramos un propã³sito y como ejercerlo tendemos a ser mãs felices con nosotros mismos y con los demãs
i am not sure if i am depressed i dont know how to bring it up to my parents and that makes me miserable,you are not alone many people fear opening up to family members about the topic of depression or mental illness there are many different reason why some may fear telling their parents the most common thoughts i hear in my office are  my parents wont understand me i may cause more problems to the family i am worried that something bad may happen if i tell them if possible express your current concerns and worries to your parents you can start the conversation with your parents by saying i have not been feeling like myself lately and i may want to see a counselor i think you are doing the right thing by going on this website and asking for help just a helpful tip positive selftalk can be beneficial before having difficult conversations with others for example tell yourself something positive before talking to your parents such as i feel confident in myself and i am doing this to overcome my fear of talking to my parents can help to decrease the anxiety you are feeling leading up to the conversation i would recommend if you are feeling depressed or down it would be beneficial to seek counseling to understand your current thoughts and behaviors best of luck and hope you decide to start counseling
i am not sure if i am depressed i dont know how to bring it up to my parents and that makes me miserable,depending on your relationship with your parents inviting them to have a conversation might be a good first step  if they consent then you can have the opportunity to discuss your concerns with them  inviting someone to a conversation and getting their agreement is a great first step i would then make sure your location of the discussion is conducive to the conversation and once all that is considered it might be beneficial that you make a list of your concerns prior to the meeting  this can help keep you on point
i am not sure if i am depressed i dont know how to bring it up to my parents and that makes me miserable,i am so sorry you are struggling  i do think its a good idea to share your feelings with your parents and perhaps get some help connecting with a counselor or therapist if you feel that might help  there are lots of ways to tell them depending on your relationship  maybe saying i wanted to tell you guys something sometimes i worry that i might be depressed or some folks will write a letter or even send a text  the most important thing is that you tell someone you trust so you dont feel so miserable i hope this helps  best of luck
i have absolutely nothing to do with my life but lay in bed on my phone or hangout with my one friend i dont have a job my family doesnt include me in anything and i dont have many friends i have nothing to do besides go on my phone i miss talking to people in person instead of online i dont even talk to my family in person even from the other room,it sounds like you are feeling pretty stuck lonely and hopeless like you have a desire to be more connected to people and to find purpose in life but are not sure what to do i am glad to hear that you have at least one friend and i think it is great that you are reaching out for more connection if you can working with a therapist who is competent in treating depression may be a huge benefit to you and help you to regain a sense of meaning motivation and connection additionally anything you can do to give yourself a little break from the feeling of pointlessness and any ruminating thoughts you may be having may be of help i know it may sound pointless in the moment and you may feel a great deal of inertia in doing so but you may find that if you force yourself to do something small that is pleasurable like taking a walk for example theres a good chance you will be glad that you did so after the fact thank you for reaching out
my motivation has gone away its hard to get out of bed i really dont know what to do anymore im miserable my anxiety and depression have taken over my life,anxiety and depression are challenging experiences to live with and to manage on a daily basis i would say that both are challenges to overcome but solutions to living healthy and well exist step 1 talk about it with friends family partners counselors and other trusted people in your life step 2 create a plan with a counselor to learn new skills that help you recognize and manage your symptoms step 3 dont give up working on yourself can be difficult and hard at the beginning stick with it and you will be able to find exercises tools and resources that help you live well
my motivation has gone away its hard to get out of bed i really dont know what to do anymore im miserable my anxiety and depression have taken over my life,it is challenging to maintain motivation at all times anxiety and depression can set in which can make interacting with others a  struggle it can lead us to do things that make us not feel good and we become isolated  this ends up feeding into a cycle that maintains the anxietydepression loop  and can be really challenging to step out of it  you are in a place of awareness and this is the first step in making changes that can help you feel better  it is really one step at a time a concrete plan with selfcompassion to build the solid ground you need to come out of this httpwwwempoweryou2com
my motivation has gone away its hard to get out of bed i really dont know what to do anymore im miserable my anxiety and depression have taken over my life,one of the first steps is to manage anxiety and depression symptoms are to establish a good selfcare routine start with the most basic things eating balanced meals sleeping at from 68 hours and exercise at least 30 minutes a day these will help you to regulate the chemical imbalance that affects your mood plus exercising gives you time to vent and be distracted from your thoughts once basic selfcare is established i suggest that is a good time to start exploring the source of these feelings and address them trough therapy if you have difficulty initiating selfcare routine talk to your therapist about what motivates you and pushes you to do things you might find the key during the process  you could also contact your physician or a psychiatrist to discuss medication options if its too challenging to begin basic selfcarecã³mo puedo manejar mi ansiedad y depresiã³n para sentirme normal otra vezmi motivaciã³n se ha ido es difãcil salir de la cama no sã quã hacer soy miserable mi ansiedad y depresiã³n han tomado el control de mi vidauno de los primeros pasos para manejar la ansiedad y la depresiã³n es establecer una buena rutina de cuidado personal comienza con las cosas mãs bãsicas comer comidas balanceadas dormir de 68 horas en la noche y ejercitarte por lo menos 30 minutos al dãa esto te ayudara a regular el desbalance quãmico que afecta tu estado de ãnimo ademãs de que te da tiempo para desahogarte y distraerte ya que la rutina de cuidado eta establecida es un buen momento para comenzar a explorar la fuente de tus sentimientos negativos y explã³ralos a travãs de terapia si se dificulta comenzar a crear una rutina puedes consultar con tu terapista para identificar motivaciones que te impulsen a comenzar tambiãn puedes contactar a tu medico primario o psiquiatra para discutir medicamentos que te pueden ayudar a manejar estos sãntomas e iniciar cuidado bãsico
i sleep a lot music changes my mood i cry every wednesday my mind is like a maze that even i get lost in i dont usually feel my true emotions but instead i get fake mirrored ones,what happens in your life on wednesdays that you feel like crying  crying is natural  crying on wednesdays may also be natural if some type of regular event or situation comes up for you then that you dont like feel oppressed by and have no way of avoidingmaybe you would qualify for a diagnosis for depressionthis matters less than what you will do with a diagnosis  very often people feel some type of relief from hearing a professional tell them what they havedont let yourself get talked into taking pills because now you have something  pills change your moodonly you can change your lifethe diagnosis matters so the therapist gets paid from insuranceit is a good sign that you know whether you feel true emotions or fake ones  this is a clear sign of knowing about yourselfyour mind feeling like a maze is a little too vague to know if you mean there are too many thoughts at once so that you have difficulty knowing which ones to examine first or if maze means you dont know what your thoughts are and  feel lost for this reasondepression which is addressed by a person can become quite liberating because you will remove what bothers you so much in your life that it weighs you down and depresses you
i have twin toddlers i experienced a death of loved one prior to giving birth i had a horrible break up with the father people told him he was using me for money my exboyfriend had extreme meltdowns every day for three years im always alone with no friends,first let me say that you are a survivor and a warrior managing 1 child by yourself is difficult but twins is a whole different ballgame anxiety can affect us at any time anywhere this is the challenge especially when we have so many things to manage each day there are several methods and practices that help manage and even reduce symptoms of anxiety it will depend on what works best for you talk with friends a counselor or a loved one who can offer you support and feedback as you navigate this process of learning what works for you when all else fails make sure you are in a safe place pause for a deep cleansing breath in a long exhale out and ask yourself what do i want in this moment now you can begin again
i live a normal life i have tons of friends and family but i feel lonely,this may be happening because you and the others are not connected to each other on a level which reaches your emotionsloneliness may show the absence of feeling a variety of emotions when you are among othershow many friends you have doesnt affect whether you and someone else feel emotionally engaged with one anotherconsider if you feel like concentrating your friendship on more intensively sharing your feelings with a few of your friendsthis may lead to fewer friends who are also more meaningful to you and your feeling a decrease of loneliness
